VegGroup,UseInAnalysis,
DecidR,DeciduousR,
Decid1,Deciduous1,
Decid2,Deciduous2,
Decid3,Deciduous3,
Decid4,Deciduous4,
Decid5,Deciduous5,
Decid6,Deciduous6,
Decid7,Deciduous7,
Decid8,Deciduous8,
Decid9,Deciduous8,
MixedwoodR,MixedwoodR,
Mixedwood1,Mixedwood1,
Mixedwood2,Mixedwood2,
Mixedwood3,Mixedwood3,
Mixedwood4,Mixedwood4,
Mixedwood5,Mixedwood5,
Mixedwood6,Mixedwood6,
Mixedwood7,Mixedwood7,
Mixedwood8,Mixedwood8,
Mixedwood9,Mixedwood8,
PineR,PineR,
Pine1,Pine1,
Pine2,Pine2,
Pine3,Pine3,
Pine4,Pine4,
Pine5,Pine5,
Pine6,Pine6,
Pine7,Pine7,
Pine8,Pine8,
Pine9,Pine8,
SpruceR,WhiteSpruceR,
Spruce1,WhiteSpruce1,
Spruce2,WhiteSpruce2,
Spruce3,WhiteSpruce3,
Spruce4,WhiteSpruce4,
Spruce5,WhiteSpruce5,
Spruce6,WhiteSpruce6,
Spruce7,WhiteSpruce7,
Spruce8,WhiteSpruce8,
Spruce9,WhiteSpruce8,
TreedBogR,BlackSpruceR,
TreedBog1,BlackSpruce1,
TreedBog2,BlackSpruce2,
TreedBog3,BlackSpruce3,
TreedBog4,BlackSpruce4,
TreedBog5,BlackSpruce5,
TreedBog6,BlackSpruce6,
TreedBog7,BlackSpruce7,
TreedBog8,BlackSpruce8,
TreedBog9,BlackSpruce8,
TreedFenR,TreedFen,
TreedFen1,TreedFen,
TreedFen2,TreedFen,
TreedFen3,TreedFen,
TreedFen4,TreedFen,
TreedFen5,TreedFen,
TreedFen6,TreedFen,
TreedFen7,TreedFen,
TreedFen8,TreedFen,
TreedFen9,TreedFen,
TreedSwampR,TreeShrubSwamp,
TreedSwamp1,TreeShrubSwamp,
TreedSwamp2,TreeShrubSwamp,
TreedSwamp3,TreeShrubSwamp,
TreedSwamp4,TreeShrubSwamp,
TreedSwamp5,TreeShrubSwamp,
TreedSwamp6,TreeShrubSwamp,
TreedSwamp7,TreeShrubSwamp,
TreedSwamp8,TreeShrubSwamp,
TreedSwamp9,TreeShrubSwamp,
GraminoidFen,NonTreeFenMarsh,OpenWetland
Marsh,NonTreeFenMarsh,OpenWetland
ShrubbyFen,NonTreeFenMarsh,OpenWetland
ShrubbySwamp,TreeShrubSwamp,OpenWetland??
ShrubbyBog,BlackSpruceR,
GrassHerb,Grass,
Shrub,Shrub,
Bare,Bare,
CCDecidR,CCDeciduousR,
CCDecid1,CCDeciduous1,
CCDecid2,CCDeciduous2,
CCDecid3,CCDeciduous3,
CCDecid4,CCDeciduous4,
CCMixedwoodR,CCDeciduousR,
CCMixedwood1,CCDeciduous1,
CCMixedwood2,CCDeciduous2,
CCMixedwood3,CCDeciduous3,
CCMixedwood4,CCDeciduous4,
CCPineR,CCPineR,
CCPine1,CCPine1,
CCPine2,CCPine2,
CCPine3,CCPine3,
CCPine4,CCPine4,
CCSpruceR,CCWhiteSpruceR,
CCSpruce1,CCWhiteSpruce1,
CCSpruce2,CCWhiteSpruce2,
CCSpruce3,CCWhiteSpruce3,
CCSpruce4,CCWhiteSpruce4,
Water,Water,
SnowIce,SnowIce,
