FEATURE_TY,HF_GROUP,DuplicateFor,Ambiguous
ACREAGE,RuralResidentialIndustrial,,
ACREAGEAGRICULTURE_CLEARING,CultivationCropPastureBareground,AGRICULTURE_CLEARING,
AGRICULTURE_CLEARING,CultivationCropPastureBareground,,
AIRF-RUNWAY-ABAND,RoadHardSurface,,
AIRF-RUNWAY-ACTIVE,RoadHardSurface,,
AIRP-RUNWAY-ACTIVE,RoadHardSurface,,
BORROWPITS,BorrowpitsDugoutsSumps,,
CANAL,Canals,,
CANAL-MAJ,Canals,,
CANAL-MAJ-REP-PRI,Canals,,
CFO,HighDensityLivestockOperation,,
CULTIVAITON,CultivationCropPastureBareground,CULTIVATION,
CULTIVATION,CultivationCropPastureBareground,,
CUTBLOCK,CutBlocks,,
CUTLINE,SeismicLine,,
CUTLINE-TRAIL,SeismicLine,,
CUTLINE-TRAILER,SeismicLine,,
CUTLINE-TRAIL-WITHIN-CLEARING,SeismicLine,,
DISTRUB_VEG,OtherDisturbedVegetation,,
DISTURB_VEG,OtherDisturbedVegetation,,
DUGOUT,BorrowpitsDugoutsSumps,,
FORD-WINTER-XING,RoadTrailVegetated,,
GRVL-SAND-PIT,MineSite,,
IND-HEAVY,IndustrialSiteRural,,
IND-HIGH,IndustrialSiteRural,,
IND-LIGHT,IndustrialSiteRural,,
IND-LOW,IndustrialSiteRural,,
ING-HIGH,IndustrialSiteRural,IND-HIGH,
INTERCHANGE-RAMP,RoadHardSurface,,
LAGOON,MunicipalWaterSewage,,
LANDFILL,RuralResidentialIndustrial,,
MAJ-MILL,IndustrialSiteRural,,
MINES,MineSite,,
MINES-DISTURBED-NO-VEG,MineSite,,
MINES-DISTURBED-VEG,MineSite,,
MINES-PITLAKE,MineSite,,
MINES-UNDISTURBED,MineSite,,
OIL-GAS-PLANT,IndustrialSiteRural,,
OPEN-PIT-MINE,MineSite,,
PAVED ROAD,RoadHardSurface,,
PIPELINE,Pipeline,,
PWR-GEN-STA,IndustrialSiteRural,,
RECREATION,OtherDisturbedVegetation,,
RESERVOIR,Reservoirs,,
RESIDENCE,RuralResidentialIndustrial,,
RESIDENCE_CLEARING,Urban,,
RLWY-ABANDONED,RailHardSurface,,
RLWY-DBL-TRACK,RailHardSurface,,
RLWY-FORMER,RailHardSurface,,
RLWY-MLT-TRACK,RailHardSurface,,
RLWY-SGL-TRACK,RailHardSurface,,
RLWY-SPUR,RailHardSurface,,
ROAD_PAVED_GRAVEL,RoadHardSurface,,
ROAD_UNIMPROVED,RoadTrailVegetated,,
ROAD-GRAVEL,RoadHardSurface,,
ROAD-GRAVEL-1L,RoadHardSurface,,
ROAD-GRAVEL-2L,RoadHardSurface,,
ROAD-PAVED,RoadHardSurface,,
ROAD-PAVED-DIV,RoadHardSurface,,
ROAD-PAVED-UNDIV-1L,RoadHardSurface,,
ROAD-PAVED-UNDIV-2L,RoadHardSurface,,
ROAD-PAVED-UNDIV-4L,RoadHardSurface,,
ROAD-UNCLASSIFIED,RoadTrailVegetated,,
ROAD-UNIMPROVED,RoadTrailVegetated,,
ROAD-WINTER-ROAD,RoadTrailVegetated,,
RURAL_1-5ha,RuralResidentialIndustrial,,
RURAL_1-5HA,RuralResidentialIndustrial,,
RURAL_GT_5HA,RuralResidentialIndustrial,,
RURAL_GT_5ha,RuralResidentialIndustrial,,
RURAL_LESS_1ha,RuralResidentialIndustrial,,
RURAL_LESS_1HA,RuralResidentialIndustrial,,
SOFT_INTERCHANGE-RAMP,RoadVegetatedVerge,,
SOFT_RLWY-ABANDONED,RailVegetatedVerge,,
SOFT_RLWY-DBL-TRACK,RailVegetatedVerge,,
SOFT_RLWY-MLT-TRACK,RailVegetatedVerge,,
SOFT_RLWY-SGL-TRACK,RailVegetatedVerge,,
SOFT_RLWY-SPUR,RailVegetatedVerge,,
SOFT_ROAD-GRAVEL-1L,RoadVegetatedVerge,,
SOFT_ROAD-GRAVEL-2L,RoadVegetatedVerge,,
SOFT_ROAD-PAVED-DIV,RoadVegetatedVerge,,
SOFT_ROAD-PAVED-UNDIV-1L,RoadVegetatedVerge,,
SOFT_ROAD-PAVED-UNDIV-2L,RoadVegetatedVerge,,
SUMPS,BorrowpitsDugoutsSumps,,
TAILING-PILE,MineSite,,
TRAIL-ATV,RoadTrailVegetated,,
TRAIL-ATV-INDEFINITE,RoadTrailVegetated,,
TRANS_LINE,TransmissionLine,,
TRANS-LINE,TransmissionLine,,
TRUCK-TRAIL,RoadTrailVegetated,,
URBAN RESIDENCE,Urban,,
URBAN_RESIDENCE,Urban,,
WELL,WellSite,,
WELL_MODEL_FOREST,WellSite,,
WELL-ABAND,WellSite,,
WELL-CBM,WellSite,,
WELL-GAS,WellSite,,
WELL-GAS-ABAND,WellSite,,
WELL-GAS-CAPPED,WellSite,,
WELL-OIL,WellSite,,
WELL-OIL-ABAND,WellSite,,
WELL-SPOT07,WellSite,,
WELL-WATER,HighDensityLivestockOperation,,Rural or Cultivation?
WELL-WATER-ABAND,HighDensityLivestockOperation,,Rural or Cultivation?
WINDMILL,RuralResidentialIndustrial,,
WINDMILLS,RuralResidentialIndustrial,,
PEAT,PeatMine,,
SOFT_ROAD-PAVED-UNDIV-4L,RoadVegetatedVerge,,
ROAD_UNCLASSIFIED,RoadHardSurface,,
WELL-ABANDONED,WellSite,,
WELL-GAS-PUMPING GAS,WellSite,,
WELL-ABANDON,WellSite,,
OTH-IND-SITE,IndustrialSiteRural,,
RAILWAY-TRACKS,RailHardSurface,,
RLWY,RailHardSurface,,
WELL-CLEARING,WellSite,,
WELL-COMMINGLED,WellSite,,
WELL-NEW LICENSE,WellSite,,
WELL-OIL-SUSPENDED,WellSite,,
WELL-STANDING,WellSite,,
WELLSITES,WellSite,,
ROAD-PAVED-2L,RoadHardSurface,,
ROAD-PAVED-GRAVEL,RoadHardSurface,,
ROAD-PAVED-1L,RoadHardSurface,,
DISTERB_VEG,OtherDisturbedVegetation,,
RURAL-LESS-1HA,RuralResidentialIndustrial,,
SUMP,BorrowpitsDugoutsSumps,,
ROAD-INTERSECTION,RoadHardSurface,,
VEG-SURFACE-OVERLAP,RoadVegetatedVerge,,
PIPELINE-INTERSECTION,Pipeline,,
RLWY-INTERSECTION,RailHardSurface,,
