Birds,General
SpruceR,WhiteSpruce_0-10
Spruce1,WhiteSpruce_10-20
Spruce2,WhiteSpruce_20-40
Spruce3,WhiteSpruce_40-60
Spruce4,WhiteSpruce_60-80
Spruce5,WhiteSpruce_80-100
Spruce6,WhiteSpruce_100-120
Spruce7,WhiteSpruce_120-140
Spruce8,WhiteSpruce_140+
Spruce9,WhiteSpruce_140+
PineR,Pine_0-10
Pine1,Pine_10-20
Pine2,Pine_20-40
Pine3,Pine_40-60
Pine4,Pine_60-80
Pine5,Pine_80-100
Pine6,Pine_100-120
Pine7,Pine_120-140
Pine8,Pine_140+
Pine9,Pine_140+
DecidR,Deciduous_0-10
Decid1,Deciduous_10-20
Decid2,Deciduous_20-40
Decid3,Deciduous_40-60
Decid4,Deciduous_60-80
Decid5,Deciduous_80-100
Decid6,Deciduous_100-120
Decid7,Deciduous_120-140
Decid8,Deciduous_140+
Decid9,Deciduous_140+
MixedwoodR,Mixedwood_0-10
Mixedwood1,Mixedwood_10-20
Mixedwood2,Mixedwood_20-40
Mixedwood3,Mixedwood_40-60
Mixedwood4,Mixedwood_60-80
Mixedwood5,Mixedwood_80-100
Mixedwood6,Mixedwood_100-120
Mixedwood7,Mixedwood_120-140
Mixedwood8,Mixedwood_140+
Mixedwood9,Mixedwood_140+
BSprR,BlackSpruce_0-10
BSpr1,BlackSpruce_10-20
BSpr2,BlackSpruce_20-40
BSpr3,BlackSpruce_40-60
BSpr4,BlackSpruce_60-80
BSpr5,BlackSpruce_80-100
BSpr6,BlackSpruce_100-120
BSpr7,BlackSpruce_120-140
BSpr8,BlackSpruce_140+
BSpr9,BlackSpruce_140+
LarchR,TreedFen
Larch1,TreedFen
Larch2,TreedFen
Larch3,TreedFen
Larch4,TreedFen
Larch5,TreedFen
Larch6,TreedFen
Larch7,TreedFen
Larch8,TreedFen
Larch9,TreedFen
GrassHerb,Grass
Shrub,Shrub
Swamp,TreeShrubSwamp
GraminoidFen,NonTreeFenMarsh
Marsh,NonTreeFenMarsh
RoughP,RoughP
TameP,TameP
Crop,Crop
Industrial,UrbInd
Mine,UrbInd
Rural,UrbInd
Urban,UrbInd
CCSpruceR,CCWhiteSpruce_0-10
CCSpruce1,CCWhiteSpruce_10-20
CCSpruce2,CCWhiteSpruce_20-40
CCSpruce3,CCWhiteSpruce_40-60
CCSpruce4,CCWhiteSpruce_60-80
CCPineR,CCPine_0-10
CCPine1,CCPine_10-20
CCPine2,CCPine_20-40
CCPine3,CCPine_40-60
CCPine4,CCPine_60-80
CCDecidR,CCDeciduous_0-10
CCDecid1,CCDeciduous_10-20
CCDecid2,CCDeciduous_20-40
CCDecid3,CCDeciduous_40-60
CCDecid4,CCDeciduous_60-80
CCMixedwoodR,CCMixedwood_0-10
CCMixedwood1,CCMixedwood_10-20
CCMixedwood2,CCMixedwood_20-40
CCMixedwood3,CCMixedwood_40-60
CCMixedwood4,CCMixedwood_60-80
