(Intercept),soil1RapidDrain,soil1SalineAndClay,soil1Cult,soil1UrbInd,soil1vNonProductive,soil1vCult,soil1vUrbInd
Saline,1,0,1,0,0,1,0,0
SoilWetland,0,0,0,0,0,0,0,0
SoilWater,0,0,0,0,0,0,0,0
Productive,1,0,0,0,0,0,0,0
RapidDrain,1,1,0,0,0,1,0,0
SoilUnknown,0,0,0,0,0,0,0,0
Clay,1,0,1,0,0,1,0,0
BorrowpitsDugoutsSumps,0,0,0,0,0,0,0,0
Canals,0,0,0,0,0,0,0,0
CultivationCropPastureBareground,1,0,0,1,0,0,1,0
HighDensityLivestockOperation,1,0,0,1,0,0,1,0
IndustrialSiteRural,1,0,0,0,1,0,0,1
MineSite,0,0,0,0,0,0,0,0
MunicipalWaterSewage,0,0,0,0,0,0,0,0
OtherDisturbedVegetation,1,0,0,0,1,0,0,1
PeatMine,0,0,0,0,0,0,0,0
Pipeline,0,0,0,0,0,0,0,0
RailHardSurface,0,0,0,0,0,0,0,0
RailVegetatedVerge,0,0,0,0,0,0,0,0
Reservoirs,0,0,0,0,0,0,0,0
RoadHardSurface,0,0,0,0,0,0,0,0
RoadTrailVegetated,0,0,0,0,0,0,0,0
RoadVegetatedVerge,0,0,0,0,0,0,0,0
RuralResidentialIndustrial,1,0,0,0,1,0,0,1
SeismicLine,0,0,0,0,0,0,0,0
TransmissionLine,0,0,0,0,0,0,0,0
Urban,1,0,0,0,1,0,0,1
WellSite,1,0,0,0,1,0,0,1
WindGenerationFacility,1,0,0,0,1,0,0,1
CutBlocks,0,0,0,0,0,0,0,0
